customer_id,name,age,gender,city,signup_date
1,"Shannon Conley",27,Female,"Port Jamiestad",2024-07-24
4,"Teresa Mccann",23,Female,Millsbury,2024-12-31
12,"Michael Gutierrez",20,Female,"New Sherimouth",2024-02-27
17,"Matthew Walton",28,Female,Danielburgh,2024-03-15
20,"James Weiss",21,Female,Morrisonborough,2024-06-16
25,"Nancy Jones",25,Male,"New Alexandraland",2023-05-11
26,"Kristen Wang",25,Male,"West Cheryl",2024-06-26
33,"John Adams",26,Male,Perrytown,2024-10-20
37,"William Richard",29,Male,Wendyfurt,2024-03-06
39,"William Smith",24,Female,"West Gail",2024-02-28
