customer_id,name,age,gender,city,total_amount,payment_method,signup_date,order_date
48,"Joanne Austin",20,Female,"East Amy",475.04,"Debit Card",2025-01-05,2025-01-09
67,"Steven Edwards",24,Female,"West Ruth",447.31,"Credit Card",2023-05-20,2024-06-21
25,"Nancy Jones",25,Male,"New Alexandraland",128.46,"Credit Card",2023-05-11,2024-04-19
17,"Matthew Walton",28,Female,Danielburgh,194.54,"Debit Card",2024-03-15,2024-02-26
37,"William Richard",29,Male,Wendyfurt,203.99,"Debit Card",2024-03-06,2025-02-13
51,"Jason Myers",29,Female,"New Matthew",131.79,"Credit Card",2025-02-18,2024-12-21
45,"Steven Harris",30,Male,Silvatown,280,"Credit Card",2025-01-29,2025-01-12
61,"Lynn Barrett",32,Female,"South Douglasfurt",408.08,"Credit Card",2023-09-14,2024-12-07
40,"Michael Nelson",32,Female,Jefferyhaven,165.87,"Credit Card",2023-11-26,2024-08-19
40,"Michael Nelson",32,Female,Jefferyhaven,386.73,"Credit Card",2023-11-26,2024-10-12
11,"Kelly Ford",32,Female,"New Andrewfort",421.94,"Debit Card",2023-04-29,2024-04-13
3,"Todd Harris",34,Female,"Lake Isabellamouth",254.13,"Debit Card",2024-03-12,2024-09-07
3,"Todd Harris",34,Female,"Lake Isabellamouth",139.73,"Debit Card",2024-03-12,2024-11-26
35,"Helen Diaz",35,Male,"Lake Johnburgh",214.17,"Debit Card",2023-04-29,2024-09-27
72,"Jeffrey Salazar",37,Male,Gregoryborough,239.97,"Debit Card",2023-09-10,2024-06-04
72,"Jeffrey Salazar",37,Male,Gregoryborough,288.43,"Credit Card",2023-09-10,2024-04-08
13,"Brittany Martin",37,Male,Donaldsonfurt,297.76,"Credit Card",2023-11-02,2025-02-22
47,"Michael Lara",38,Male,"Port Sarah",111.83,"Credit Card",2023-09-05,2024-07-23
47,"Michael Lara",38,Male,"Port Sarah",424.23,"Credit Card",2023-09-05,2024-09-09
47,"Michael Lara",38,Male,"Port Sarah",135.09,"Credit Card",2023-09-05,2025-02-22
53,"Lynn Reese",38,Female,"South Ryan",293.41,"Debit Card",2024-04-20,2024-06-21
93,"Brianna Mccarty",38,Female,"South Juan",345.04,"Debit Card",2023-08-05,2025-01-13
93,"Brianna Mccarty",38,Female,"South Juan",201.65,"Credit Card",2023-08-05,2024-08-09
68,"Kristopher Stone",40,Female,Jillchester,348.98,"Credit Card",2024-08-26,2024-06-03
68,"Kristopher Stone",40,Female,Jillchester,128.06,"Debit Card",2024-08-26,2024-10-11
